Zeitstempel;aX;aY;aZ;gX;gY;gZ;mX;mY;mZ
17:49:11.783;-0.44;0.78;-0.45;2.56;-6.47;7.32;6;12;-57
17:49:11.843;-0.43;0.79;-0.45;2.62;-2.62;5.31;6;10;-56
17:49:11.849;-0.43;0.77;-0.46;0.24;0.37;6.65;6;10;-56
17:49:11.852;-0.42;0.79;-0.45;0.43;1.04;1.89;6;10;-56
17:49:11.860;-0.43;0.76;-0.47;2.01;-2.01;2.32;5;15;-56
17:49:11.904;-0.44;0.76;-0.45;-1.89;0.67;1.71;8;13;-56
17:49:11.964;-0.44;0.78;-0.46;-0.37;-1.71;-0.92;8;13;-56
17:49:12.086;-0.44;0.76;-0.46;1.22;-0.55;1.89;6;13;-60
17:49:12.204;-0.46;0.76;-0.46;-3.3;0.24;2.38;6;13;-60
17:49:12.211;-0.44;0.77;-0.46;1.71;1.04;0.85;6;13;-60
17:49:12.213;-0.45;0.77;-0.45;-2.26;0.85;3.66;7;11;-58
17:49:12.444;-0.43;0.77;-0.47;1.4;0.18;1.34;7;11;-58
17:49:12.453;-0.43;0.78;-0.45;-2.01;1.1;1.71;5;13;-60
17:49:12.456;-0.43;0.79;-0.45;1.1;-0.98;-0.73;5;13;-60
17:49:12.459;-0.45;0.76;-0.44;-1.16;3.05;0.98;7;12;-58
17:49:12.504;-0.41;0.8;-0.46;5.49;-3.23;11.29;6;12;-57
17:49:12.564;-0.3;0.88;-0.49;19.1;-11.66;16.42;6;12;-57
17:49:12.568;-0.18;1.11;-0.7;41.75;-21.12;36.56;6;12;-57
17:49:12.744;0.03;1.61;-0.84;40.89;-41.81;116.88;7;11;-57
17:49:12.753;0.28;1.93;-1.03;79.65;-106.08;104.98;7;11;-5
17:49:12.756;0.23;2.29;-1.17;50.84;-141.42;-20.51;10;9;-5
17:49:12.804;-0.34;2.89;-0.37;18.98;-152.77;-213.01;10;9;0
17:49:12.864;-1;3.72;0.09;74.65;-39.06;-464.72;9;-12;NaN
17:49:12.926;-2.18;3.97;0.17;56.64;82.58;-639.95;-2;-34;NaN
17:49:13.224;-2.45;2.98;0.09;64.21;176.45;-697.08;-2;-34;0
17:49:13.229;-2.35;-0.46;-0.8;24.6;26.55;-317.26;-47;7;0
17:49:13.233;-0.51;-0.76;-1.13;23.01;-39.92;-34.18;-42;9;0
17:49:13.284;-0.13;-0.63;-0.87;1.59;20.51;8.79;-42;10;-63
17:49:13.404;0.02;-0.64;-0.99;16.66;11.47;36.01;-42;10;-6
17:49:13.411;0.13;-0.55;-0.85;-4.39;18.98;28.32;-42;10;-6
17:49:13.414;0.18;-0.53;-0.82;11.6;7.2;33.69;-41;9;-68
17:49:13.464;0.15;-0.53;-0.81;3.97;-9.16;23.5;-41;9;-68
17:49:13.524;0.17;-0.53;-0.75;7.08;-3.97;18.13;-41;9;-63
17:49:13.583;0.15;-0.55;-0.78;7.02;2.93;14.04;-41;9;-63
17:49:13.643;0.1;-0.54;-0.74;-5.49;6.77;0.37;-41;9;-63
17:49:13.824;0.07;-0.53;-0.8;4.94;-0.49;-5.8;-41;9;-67
17:49:13.826;0.06;-0.55;-0.83;7.63;7.26;2.32;-41;9;-67
17:49:14.423;0.05;-0.59;-0.79;-5.07;16.11;-4.03;-42;8;-63
17:49:14.432;0.04;-0.55;-0.86;6.71;7.81;-0.49;-42;8;-63
17:49:14.436;0.08;-0.57;-0.87;9.46;0.73;5.19;-41;9;-65
17:49:14.439;0.09;-0.55;-0.8;-3.05;10.56;4.76;-41;10;-66
17:49:14.724;0.05;-0.54;-0.84;2.99;1.83;-0.18;-40;10;-66
