Zeitstempel;aX;aY;aZ;gX;gY;gZ;mX;mY;mZ
10:25:55.784;0.78;0.43;-0.52;10.68;7.69;-75.5;-3;-54;-27
10:25:55.830;0.73;0.35;-0.57;21.73;6.59;-61.83;-3;-54;-27
10:25:55.889;0.68;0.32;-0.54;13.73;15.44;-69.89;-3;-54;-2
10:25:55.897;0.63;0.24;-0.5;10.07;22.52;-63.35;-8;-53;-3
10:25:56.009;0.62;0.19;-0.44;21;21.97;-55.6;-8;-53;-3
10:25:56.015;0.59;0.13;-0.53;38.27;5.68;-59.08;-12;-56;-2
10:25:56.019;0.56;0;-0.57;21.42;-1.95;-53.1;-12;-56;0
10:25:56.069;0.44;-0.19;-0.59;9.52;-13.55;-63.6;-12;-56;0
10:25:56.310;-0.04;2.55;-1.47;100.28;-26.67;-53.47;29;9;NaN
10:25:56.370;0.36;1.64;-0.43;-13.67;-186.16;3.91;29;9;-38
10:25:56.376;0.33;1.23;-0.69;84.66;-88.38;21.36;49;-1;22
10:25:56.489;0.06;1.03;-0.41;45.35;-54.93;-30.33;49;-1;22
10:25:56.495;0.03;0.63;-0.7;85.27;-51.09;-48.28;33;-2;-8
10:25:56.497;-0.05;0.48;-0.48;47.73;-16.66;-24.96;33;-2;NaN
10:25:56.550;-0.12;0.62;-0.64;66.22;-28.32;-1.22;33;-2;-8
10:25:56.610;-0.1;0.71;-0.55;8.79;1.22;3.6;27;-1;-11
10:25:56.620;-0.08;0.65;-0.62;14.53;19.35;-4.39;27;-1;-11
10:25:56.670;-0.08;0.81;-0.65;1.95;-3.3;6.59;11;0;-14
10:25:56.730;-0.05;0.76;-0.64;19.65;0.12;7.45;11;0;-14
10:25:56.739;-0.06;0.78;-0.72;18.37;7.26;5.62;11;0;-14
10:25:56.789;0.01;0.92;-0.62;-9.28;6.16;8.3;-18;-1;-23
10:25:56.851;-0.05;0.85;-0.65;18.13;-5.8;-19.41;-18;-1;NaN
10:25:56.858;-0.07;0.82;-0.53;-7.2;-2.26;-13.18;-17;6;-1
10:25:56.909;-0.06;0.81;-0.58;23.68;-2.75;-5.55;-17;6;-15
10:25:56.969;-0.06;0.81;-0.57;-5.62;8.54;-2.56;-17;6;-15
10:25:56.977;-0.07;0.84;-0.54;-0.12;6.53;-13.55;-8;11;-18
10:25:57.030;-0.06;0.79;-0.58;15.01;-6.59;-7.51;-8;11;-18
10:25:57.090;-0.06;0.82;-0.6;12.33;-1.53;-11.66;-2;11;-2
10:25:57.098;-0.03;0.83;-0.55;-4.52;5.13;-6.47;-2;11;-25
10:25:57.150;-0.04;0.83;-0.58;4.82;3.05;-7.02;-2;11;-25
10:25:57.210;-0.02;0.84;-0.58;-0.61;1.4;-10.38;8;9;-23
10:25:57.219;-0.02;0.84;-0.57;-5.92;0.49;-7.51;8;9;-23
10:25:57.269;-0.02;0.83;-0.6;4.39;0.18;-11.84;16;6;-18
10:25:57.330;-0.01;0.81;-0.55;-9.52;3.3;-6.35;16;6;-18
10:25:57.339;-0.02;0.83;-0.57;1.4;3.11;-8.42;16;6;-18
10:25:57.389;-0.01;0.8;-0.58;-10.07;3.17;-7.57;20;2;-22
10:25:57.450;-0.01;0.81;-0.54;-6.59;3.36;-6.23;20;2;-22
10:25:57.456;-0.01;0.78;-0.61;8.79;0.24;-4.27;24;1;-20
10:25:57.509;-0.02;0.81;-0.54;-13.67;3.78;-7.08;24;1;-20
10:25:57.569;-0.01;0.79;-0.58;2.56;-0.61;-2.08;24;1;-20
10:25:57.573;0;0.8;-0.58;-0.24;2.99;-0.18;27;0;-23
10:25:57.629;-0.01;0.81;-0.57;-2.87;1.83;-3.42;27;0;-23
10:25:57.688;0;0.81;-0.59;4.76;-1.71;-0.92;27;-1;-19
10:25:57.691;0;0.81;-0.58;-1.59;3.54;-0.49;27;-1;-19
10:25:57.809;0;0.8;-0.59;2.32;0;0.24;26;-1;-23
10:25:57.869;0;0.81;-0.57;3.11;2.26;-0.98;25;0;-18
10:25:57.929;0;0.83;-0.59;0.31;0.55;-0.55;25;0;-18
10:25:57.936;0;0.82;-0.56;-1.77;0.92;-2.14;25;0;-18
10:25:57.989;0.01;0.81;-0.6;3.97;-4.21;-0.98;26;0;-19
10:25:58.050;0.01;0.83;-0.59;-0.24;0.92;-4.09;26;0;-19
10:25:58.057;0.02;0.82;-0.58;-1.95;-0.55;-7.39;27;0;-21
10:25:58.109;0.01;0.83;-0.58;-1.95;-3.23;-6.29;27;0;-21
10:25:58.169;0.01;0.8;-0.56;4.46;-1.28;-2.01;27;0;-21
10:25:58.176;0.02;0.82;-0.58;-3.85;-1.65;-5.13;30;0;-18
10:25:58.232;0.02;0.83;-0.57;-2.38;4.09;-1.65;30;0;-18
10:25:58.289;0.03;0.8;-0.6;-0.31;3.17;2.2;31;-1;-17
10:25:58.293;0.01;0.83;-0.58;-2.44;-1.16;-6.16;31;-1;-17
10:25:58.349;0.02;0.81;-0.59;1.53;-2.81;-2.93;31;-1;-17
10:25:58.410;0.03;0.82;-0.57;-1.65;1.71;-3.3;29;-2;-19
10:25:58.469;0.02;0.82;-0.58;-2.75;-1.1;-7.32;29;-2;-19
10:25:58.477;0.03;0.81;-0.57;-1.22;-0.79;-3.54;30;-3;-21
10:25:58.530;0.03;0.8;-0.58;0;2.5;-2.38;30;-3;-21
