Zeitstempel;aX;aY;aZ;gX;gY;gZ;mX;mY;mZ
17:50:22.585;-0.42;0.55;-0.72;-2.2;2.32;0.73;-8;6;-64
17:50:22.644;-0.43;0.53;-0.73;0.79;-0.55;-0.61;-8;6;-64
17:50:22.704;-0.44;0.54;-0.72;3.36;-0.37;-1.16;-8;6;-65
17:50:22.710;-0.43;0.53;-0.72;2.26;-0.06;4.21;-8;6;-65
17:50:22.764;-0.45;0.53;-0.73;1.16;1.83;-1.1;-8;6;-65
17:50:22.824;-0.43;0.54;-0.71;2.01;3.48;1.89;-5;6;-69
17:50:22.884;-0.44;0.55;-0.7;2.5;1.46;1.65;-7;5;-66
17:50:22.945;-0.45;0.53;-0.71;7.69;0.06;7.45;-7;5;-66
17:50:22.951;-0.45;0.53;-0.71;5.37;1.16;3.72;-7;5;-66
17:50:23.065;-0.45;0.54;-0.7;4.27;3.85;5.98;-6;8;-66
17:50:23.073;-0.46;0.54;-0.7;7.69;2.38;9.09;-7;5;-64
17:50:23.124;-0.46;0.53;-0.69;12.94;3.36;9.89;-7;5;-64
17:50:23.185;-0.49;0.57;-0.63;22.03;7.32;19.84;-7;5;-64
17:50:23.191;-0.45;0.63;-0.64;35.46;7.45;42.36;-5;9;-64
17:50:23.244;-0.31;0.77;-0.66;40.28;2.08;48.83;-5;9;-64
17:50:23.304;-0.18;1.26;-0.79;53.47;-12.45;69.7;-1;8;-63
17:50:23.311;-0.11;1.32;-1.23;81.24;-26.06;86.18;-1;8;-63
17:50:23.364;0.27;2.04;-1.31;7.02;-36.5;-23.74;-1;8;-63
17:50:23.424;0.46;2.88;-0.97;94.67;-149.72;-147.03;3;4;-6
17:50:23.430;0.07;3.34;-1.01;165.22;-224.98;-270.87;3;4;NaN
17:50:23.544;-1.12;4;-0.42;34.18;-22.64;-554.32;5;-20;0
17:50:23.552;-1.78;3.92;-0.57;83.92;5.31;-616.09;5;-20;-5
17:50:23.844;-0.97;-0.94;-1.4;68.73;-45.53;-72.45;-50;3;0
17:50:23.904;-0.37;-0.64;-0.97;-0.24;14.28;-28.81;-47;6;NaN
17:50:23.910;-0.21;-0.65;-1.07;41.14;2.44;2.5;-47;6;-68
17:50:23.964;-0.1;-0.61;-0.91;19.96;10.74;0.24;-47;6;-68
17:50:24.024;-0.01;-0.57;-0.84;5.92;7.51;3.36;-45;8;-66
17:50:24.144;0.05;-0.62;-0.88;8.67;4.39;17.7;-45;8;-66
17:50:24.151;0.1;-0.59;-0.73;-5.92;8;19.1;-44;8;-71
17:50:24.155;0.13;-0.59;-0.8;12.51;-6.47;19.53;-44;8;-71
17:50:24.204;0.15;-0.56;-0.78;2.5;-9.09;24.72;-44;8;-71
17:50:24.209;0.17;-0.54;-0.78;7.14;-0.37;15.44;-41;7;-67
17:50:24.264;0.16;-0.58;-0.79;0.24;9.09;7.26;-41;7;-67
17:50:24.324;0.15;-0.55;-0.72;-10.5;10.68;2.01;-44;5;-64
17:50:24.327;0.16;-0.6;-0.79;13.31;4.39;10.01;-44;5;-64
17:50:24.383;0.15;-0.57;-0.83;0.92;16.6;6.53;-43;9;-65
17:50:24.443;0.16;-0.54;-0.73;-6.9;19.04;1.28;-43;9;-65
17:50:24.446;0.15;-0.56;-0.82;14.34;0.24;6.96;-43;9;-65
17:50:24.503;0.14;-0.56;-0.83;4.33;4.82;3.54;-42;7;-64
17:50:24.564;0.14;-0.57;-0.8;-3.05;7.81;-0.98;-42;7;-64
17:50:24.569;0.13;-0.55;-0.8;5.25;-0.61;1.34;-43;8;-67
17:50:24.623;0.14;-0.6;-0.83;10.07;-2.99;7.75;-43;8;-67
17:50:24.684;0.15;-0.55;-0.81;1.16;2.2;0.12;-43;8;-67
17:50:24.687;0.16;-0.55;-0.82;-2.38;1.16;-0.06;-43;8;-67
17:50:24.744;0.16;-0.53;-0.82;3.66;0.61;-1.83;-43;8;-67
17:50:24.804;0.14;-0.56;-0.82;4.88;0.67;0.49;-41;9;-65
17:50:24.807;0.13;-0.54;-0.8;0.31;0.49;-4.15;-41;9;-65
17:50:24.864;0.12;-0.57;-0.82;8.42;0.79;-0.06;-41;9;-65
17:50:24.926;0.12;-0.54;-0.81;2.5;1.1;-3.91;-41;9;-62
17:50:24.933;0.12;-0.55;-0.84;5.37;-0.61;-1.04;-41;9;-62
17:50:24.983;0.12;-0.53;-0.85;2.14;0;-1.4;-41;7;-67
17:50:25.104;0.12;-0.51;-0.81;-0.85;-4.09;-2.81;-40;6;-70
17:50:25.164;0.11;-0.55;-0.86;11.72;-4.58;0.85;-40;6;-70
17:50:25.172;0.12;-0.54;-0.83;-4.39;2.26;-2.81;-41;7;-68
17:50:25.224;0.11;-0.54;-0.83;0.12;1.89;-3.6;-41;7;-68
17:50:25.284;0.12;-0.54;-0.83;4.39;-3.42;1.28;-41;7;-68
17:50:25.291;0.12;-0.52;-0.81;-3.91;-1.77;-2.01;-40;8;-66
17:50:25.344;0.11;-0.54;-0.8;1.46;0;-1.77;-40;8;-66
17:50:25.404;0.12;-0.56;-0.83;1.53;2.69;0.55;-40;9;-69
17:50:25.410;0.12;-0.53;-0.8;-4.21;5.43;-3.11;-40;9;-69
