Zeitstempel;aX;aY;aZ;gX;gY;gZ;mX;mY;mZ
16:42:06.342;-0.43;-0.78;0.39;-4.46;0.31;0.85;-46;18;23
16:42:06.346;-0.42;-0.79;0.42;-3.72;-3.42;0.18;-47;20;25
16:42:06.349;-0.43;-0.79;0.42;-0.43;2.08;1.89;-47;17;25
16:42:06.461;-0.43;-0.78;0.41;-2.69;-1.4;2.01;-47;19;23
16:42:06.762;-0.43;-0.78;0.42;2.2;1.95;0.67;-46;19;20
16:42:06.765;-0.42;-0.79;0.41;-1.16;0.31;-0.61;-46;19;20
16:42:06.768;-0.42;-0.79;0.44;2.62;3.6;-1.89;-47;19;20
16:42:06.880;-0.43;-0.79;0.44;-3.48;1.95;0.49;-47;19;20
16:42:06.884;-0.43;-0.77;0.44;5.62;10.86;-0.24;-46;17;21
16:42:06.887;-0.54;-0.65;0.43;11.29;23.56;-12.08;-47;15;1
16:42:06.896;-0.58;-0.68;0.39;38.15;29.91;-23.01;-47;15;1
16:42:07.001;-0.61;-0.67;0.37;59.14;38.15;-55.91;-50;17;2
16:42:07.060;-0.53;-0.73;0.43;70.56;41.81;-97.41;-50;17;2
16:42:07.063;-0.48;-0.88;0.29;37.17;35.46;-80.51;-49;15;2
16:42:07.240;-0.43;-0.91;0.31;68.48;37.72;-70.01;-49;15;2
16:42:07.301;-0.51;-0.9;0.3;76.17;31.49;-69.64;-49;15;2
16:42:07.305;-0.51;-0.83;0.21;68.36;34.36;-95.58;-51;18;2
16:42:07.308;-0.55;-0.85;0.15;93.2;40.04;-80.81;-51;18;2
16:42:07.313;-0.47;-1.81;0.17;133;74.16;-39.67;-60;20;0
16:42:07.422;-0.23;-3.37;-0.33;34;52.31;209.17;-60;20;0
16:42:07.427;-1.01;-3.55;-0.52;84.53;22.71;431.27;-66;6;7
16:42:07.480;-2.22;-3.96;-0.58;23.68;-64.51;623.9;-66;6;0
16:42:07.661;-2.31;0.09;-0.76;18.43;-215.27;467.53;5;-26;0
16:42:07.665;-1.82;0.56;0.47;37.29;-144.04;313.84;9;12;25
16:42:07.721;-1.32;0.72;0.81;28.69;-123.9;194.4;9;12;25
16:42:07.782;-0.96;0.83;1.07;45.9;-47.79;66.96;9;12;25
16:42:07.785;-0.62;0.78;0.96;17.58;57.31;22.28;5;20;25
16:42:07.901;-0.28;0.71;1.07;41.81;103.94;6.84;5;20;25
16:42:07.905;-0.09;0.69;1.01;23.19;56.88;-14.4;3;14;29
16:42:07.908;-0.05;0.68;0.78;-15.81;3.66;-20.51;3;14;29
16:42:08.020;-0.01;0.63;0.79;19.04;-9.22;-20.26;3;14;29
16:42:08.081;0.05;0.67;0.77;4.09;-9.7;-27.65;3;12;31
16:42:08.085;0.05;0.61;0.76;17.76;-5.13;-19.1;3;12;31
16:42:08.088;0.08;0.66;0.84;15.93;-8.67;-27.95;3;12;31
16:42:08.141;0.06;0.61;0.69;-13.67;-12.45;-10.01;3;12;31
16:42:08.201;0.04;0.6;0.77;18.86;5.68;-11.11;3;12;31
16:42:08.205;0.07;0.65;0.77;6.84;6.71;-17.7;2;14;28
16:42:08.501;0.06;0.61;0.71;-4.82;-0.49;-2.08;2;14;28
16:42:08.505;0.07;0.63;0.8;14.28;-1.77;-5.55;4;13;31
16:42:08.508;0.08;0.63;0.75;-1.95;-7.75;-5.07;4;13;31
16:42:08.520;0.09;0.66;0.78;8.36;-5.25;-6.29;4;13;31
16:42:08.621;0.07;0.62;0.78;17.4;-8;-7.93;1;13;30
16:42:08.740;0.05;0.58;0.84;2.44;-4.15;3.91;1;13;30
16:42:08.745;0.04;0.61;0.8;1.89;-9.89;-1.46;1;16;33
16:42:08.800;0.05;0.61;0.77;5.43;1.22;-2.32;1;16;33
16:42:08.804;0.03;0.6;0.85;11.41;6.35;0.12;1;13;30
16:42:08.806;0.02;0.57;0.78;-6.29;-8.67;-4.09;1;13;30
16:42:08.818;0.02;0.55;0.82;3.05;8.12;1.1;0;14;31
16:42:08.981;0.04;0.62;0.83;-3.36;5.31;-3.3;0;14;31
16:42:08.985;0.06;0.61;0.79;-7.32;0.24;1.1;0;15;32
16:42:08.988;0.06;0.62;0.83;-6.41;3.05;-1.53;0;15;32
16:42:09.001;0.06;0.61;0.79;-9.89;0.06;-4.52;0;15;32
16:42:09.221;0.08;0.62;0.77;-3.11;0.18;-4.88;3;13;31
16:42:09.281;0.08;0.62;0.76;-1.77;-0.61;-2.62;3;13;31
16:42:09.401;0.07;0.62;0.74;-6.35;-2.01;0.37;1;14;28
16:42:09.404;0.07;0.62;0.77;-0.24;-2.2;-2.32;1;14;28
16:42:09.580;0.08;0.63;0.85;8.3;2.01;-1.53;3;12;33
16:42:09.585;0.05;0.62;0.76;-10.74;-7.51;-1.77;2;16;31
